text,label,user_id,timestamp,clean_text
Breaking News: Scientists discover new cure for disease,0,user001,2024-01-15 10:30:00,breaking news scientists discover new cure disease
SHOCKING: Celebrities caught in fake scandal spreading online,1,user002,2024-01-15 11:15:00,shocking celebrities caught fake scandal spreading online
Government announces new policy updates for citizens,0,user003,2024-01-15 12:00:00,government announces new policy updates citizens
URGENT: This viral claim about vaccine side effects is FALSE,1,user004,2024-01-15 13:45:00,urgent viral claim vaccine side effects false
Research Study: Effects of social media on mental health revealed,0,user005,2024-01-15 14:20:00,research study effects social media mental health revealed
FAKE NEWS ALERT: Do NOT believe this about elections,1,user006,2024-01-15 15:30:00,fake news alert believe elections
New Economic Report Shows Strong Growth in Tech Sector,0,user007,2024-01-15 16:00:00,new economic report shows strong growth tech sector
HOAX: Ancient alien artifacts found underground exposed,1,user008,2024-01-15 17:15:00,hoax ancient alien artifacts found underground exposed
Climate Scientists Release New Global Warming Data Analysis,0,user009,2024-01-15 18:45:00,climate scientists release new global warming data analysis
MISLEADING: Conspiracy theory about water sources debunked,1,user010,2024-01-15 19:30:00,misleading conspiracy theory water sources debunked
Study Confirms Benefits of Regular Exercise and Healthy Diet,0,user011,2024-01-16 08:00:00,study confirms benefits regular exercise healthy diet
FALSE CLAIM: This celebrity death rumor is completely fabricated,1,user012,2024-01-16 09:30:00,false claim celebrity death rumor completely fabricated
Local News: Community Center Opens New Youth Programs,0,user013,2024-01-16 10:15:00,local news community center opens new youth programs
FAKE: These leaked documents are manipulated and doctored,1,user014,2024-01-16 11:00:00,fake leaked documents manipulated doctored
Medical Breakthrough: New treatment shows promise in trials,0,user015,2024-01-16 12:30:00,medical breakthrough new treatment shows promise trials
